"","IN","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","tag","TARGET_TAG"
"4595",4595,3,-4.3,0.28,-0.46,11.9,0.298,51,149,1.03878,3.02,0.74,10.4,-1,7,3,"train","yes"
"4596",4596,NA,-4.5,0.325,0.49,60.9,0.049,53,217,0.996,3.16,0.4,3.35117050807729,-1,7,2,"test",NA
"4597",4597,3,16.3,0.31,0.49,11.1,-0.288,34,147,0.91037,4.1,0.58,8.2,0,10,1,"train","yes"
"4598",4598,5,7.1,0.12,1.19,9.6,0.608,12.5051637700323,303.591991807467,0.9962,3.4,0.41,9.7,2,8,1,"train","yes"
"4599",4599,NA,5.7,0.1,0.34,26.3,0.135,251,100,0.99689,3.27,0.46,9.5,0,6,2,"test",NA
"4600",4600,4,16.3,0.64,0.23,115,0.114,257,87,0.99538,3.36,-2.46,10.9,1,8,1,"train","yes"
"4601",4601,2,5.3,0.18,1.19,17.05,0.047,53,139,0.99724,3.25,-0.09,4,-2,7,2,"train","yes"
"4602",4602,2,16.5,1.61,0.4,4.6,-0.368,-252,-400,0.9915,3.31,-1.38,12.6,1,8,3,"train","yes"
"4603",4603,0,14.6,0.67,-0.71,49.4,0.186,-143,141,0.996,3.39,0.46,11,0,8,2,"train","no"
"4604",4604,2,5.9,1.38,-0.8,1,0.096,-111,275,0.99728,3.78,-1.76,14.7,-2,6,1,"train","yes"
"4605",4605,4,7.9,-1.26,1.83,31.6,0.053,47,150,0.9948,2.42,0.76,14,0,8,2,"train","yes"
"4606",4606,4,4.1,-0.21,0.3,-57.3,0.025,25,76,0.9949,3.11,-0.89,9,0,7,2,"train","yes"
"4607",4607,NA,6.2,0.35,-1.24,18.1,0.069,33,158,0.96028,4.34,0.5,8.8,0,7,2,"test",NA
"4608",4608,3,10.6,0.33,0.23,-16.1,0.214,-242,256,0.98139,2.76,-0.64,6.7,0,6,3,"train","yes"
"4609",4609,NA,11.7,1.2,1.74,-21.7,0.09,20,47,0.99734,3.34,0.64,12.8,-1,12,1,"test",NA
"4610",4610,NA,7.2,0.16,0.74,12.5,-0.268,47,161,0.9981,3.04,0.44,8.7,0,8,2,"test",NA
"4611",4611,5,5.7,0.1,0.24,-47.1,0.564000264985334,44,-589,0.99837,2.97,2.25,7.6,1,6,2,"train","yes"
"4612",4612,2,9.3,3.24,1.77,-48.6,0.262,102,171,0.9932,3.16,0.36,9.5,-1,7,3,"train","yes"
"4613",4613,5,6.7,0.01,-0.49,11.3,-0.409,94,173,1.03514,4.23,0.9,12.8,1,7,2,"train","yes"
"4614",4614,0,7.1,1.87,0.22,-18.4,0.21,19,357,0.98001,3.42,0.76,9.5,0,14,2,"train","no"
"4615",4615,6,1.6,1.61,-0.08,39.3676930494291,0.0628609029282796,127,152,0.9934,3.45,0.49,10.7,0,9,4,"train","yes"
"4616",4616,NA,13.3,-1.17,-0.29,18.15,0.785,41,91,0.89928,3.3,0.76,8.7,-2,7,1,"test",NA
"4617",4617,NA,17.6,0.425,1.49,13.1,-0.459,-163,241,1.04149,3.88,-0.16,2.9,0,7,1,"test",NA
"4618",4618,1,6.4,0.46,0.22,106.8,0.047,51,183,0.952735,3.71,0.29,10.5,-2,7,1,"train","yes"
"4619",4619,3,5.9,1.32,0.3,13.8736447741503,0.212,291,150,0.99592,3.12,0.1,8.2,0,7,2,"train","yes"
"4620",4620,2,7.8,0.24,0.38,2.1,0.323,14,565,0.994,1.21,0.55,13.3,-1,8,2,"train","yes"
"4621",4621,2,3.7,1.13,-1.47,-43.1,-0.472,51,-272,1.04372,3.51017041210798,-1.23,11.8,-1,7,1,"train","yes"
"4622",4622,0,6.4,0.57,0.02,1.8,0.067,4,-19,0.997,5.63,1.46487734406564,9.5,-1,7,2,"train","no"
"4623",4623,0,-0.5,0.43,0.36,9.2,-0.08,172,-68,0.9976,3.44,0.3,9.4,0,7,2,"train","no"
"4624",4624,6,11.4,0.9,0.35,63.4,0.342,3,46,0.99439,3.19,0.01,12.8,2,9,2,"train","yes"
"4625",4625,0,7.5,0.72,-0.72,6.55,0.026,275,370,0.99244,2.92,0.35,8.65330252928265,0,8,3,"train","no"
"4626",4626,4,4.9,0.32,1.74,2.9,0.029,-245,-141,0.99762,2.93,-0.24,8,0,7,1,"train","yes"
"4627",4627,4,6.6,0.16,0.3,1.6,0.616,138,78,1.01971,3.38,0.44,5.8,0,7,4,"train","yes"
"4628",4628,4,6.8,0.13,0.39,19.1,0.034,-240,102,0.99121,1.5,0.6,15.2,-1,7,2,"train","yes"
"4629",4629,3,3.2,1.64,0.2,-97.1,0.581,30,92,0.97015,2.46,0.58,6.6,0,8,2,"train","yes"
"4630",4630,4,7.2,-0.07,-1.09,3,0.348,-156,117,0.96774,3.36,0.06,11.7,0,8,1,"train","yes"
"4631",4631,4,10.3,0.26,0.43,-1.7,0.022,179,134,0.98487,1.87,1.3,11.5,0,8,1,"train","yes"
"4632",4632,4,16.5,1.06,0.32,12.75,0.053,267,145,0.9972,3.17,0.95,10.2,0,9,2,"train","yes"
"4633",4633,NA,0.2,1.54,1.25,12.4,0.114,234,155,0.90324,3.33,0.48,13.7,0,7,3,"test",NA
"4634",4634,5,9.2,0.7,0.44,39.6349075218049,0.031,-157,-72,0.9929,2.86,-0.39,10.4,1,10,3,"train","yes"
"4635",4635,2,7.3,0.72,-0.11,7.2,0.23,-229,-87.8271761067888,1.03755,3.12,1.6,4.9,-1,8,1,"train","yes"
"4636",4636,4,5.8,0.2,0.3,27,0.031,-227,-329,0.97087,3.44,0.55,15,0,6,3,"train","yes"
"4637",4637,6,3.4,0.44,-1.75,5.45,0.214,-133,137,0.98984,3.13,0.18,13,0,7,2,"train","yes"
"4638",4638,NA,7.8,0.25,0.41,3.7,0.042,-89,371,0.9954,3.36,0.331359255308504,8,0,8,2,"test",NA
"4639",4639,0,6.7,0.8,-0.34,8.5,0.059,-229,152,1.04,4.01,2.61,13.8,-1,7,2,"train","no"
"4640",4640,3,6.4,-0.65,0.32,6.5,-0.066,-1,174,0.96211,2.44,0.48,9.4,0,7,1,"train","yes"
"4641",4641,NA,6.9,-0.62,0.89,70.35,0.003,257,189,0.99784,2.8,-0.192737255940908,11.7,0,8,1,"test",NA
"4642",4642,5,6.6,0.38,0.28,2.8,0.043,-233,34,0.98924,3.21,-0.25,13.2,1,7,2,"train","yes"
"4643",4643,3,22,3.01,0.24,63.3,-0.284978120536298,231,63,0.99735,3.15,-0.55,5.7,-1,11,2,"train","yes"
"4644",4644,0,7.1,0.75,-0.77,-8.6,0.059,-387,224,0.99242,4.13,-0.04,12.8,0,8,2,"train","no"
"4645",4645,4,8.1,0.2,1.88,0.9,-0.442,49,239,0.99062,2.92,-2.52,11.1,0,9,3,"train","yes"
"4646",4646,4,19.4,0.315,-0.95,-23.9,0.084,5,15,0.9987,2.56,0.94,12,0,12,2,"train","yes"
"4647",4647,0,22.9,0.25,-0.13,2.2,-0.088,-249,-99,1.0841,4.39,1.57,12.3,-1,8,1,"train","no"
"4648",4648,5,1.1,0.53,-0.45,-55,0.076,368,-8.77429295755095,1.00504,3.2,-1.11,13.2,-1,6,2,"train","yes"
"4649",4649,3,18,1.59,0.42,5.1,0.036,484,77,0.9939,3.31,0.52,11.7,0,9,3,"train","yes"
"4650",4650,4,4.6,0.29,0.34,7.8,0.25,49,128,0.99397,3.21,0.4,8,0,8,2,"train","yes"
"4651",4651,5,7.4,0.97,1.87,52.5,0.471,-32,436.855422055246,1.03633,4.71,0.58,9.7,1,8,3,"train","yes"
"4652",4652,4,7.2,0.695,0.13,-31.2,0.631,12,49,1.00412,3.29,-0.95,9.4,1,8,2,"train","yes"
"4653",4653,NA,7.3,1.1,0.42,54.4,-0.388,288,325,0.9996,3.29,1.57,10.2182490467927,2,8,4,"test",NA
"4654",4654,4,-1.1,1.67,1.47,15.1,0.03,34,-65.2911191224024,1.00527,2.63,-1.01,12,-1,8,2,"train","yes"
"4655",4655,NA,6.7,1.05,0.39,70.1,-0.023,64,40,0.99562,3.89,0.38,9.4,0,7,3,"test",NA
"4656",4656,4,12,0.26,0.37,-57.8,-0.539,54,575,0.99523,2.39,0.48,9.5,0,7,3,"train","yes"
"4657",4657,4,13.3,0.61,0.18,-5.3,-0.272,-139,384,0.9963,3.29,-1.24014181357508,10.1849183662338,0,8,1,"train","yes"
"4658",4658,4,12.1,2.45,-0.33,34.2,0.038,154,-36,0.97194,3.24,0.93,10.1,1,7,1,"train","yes"
"4659",4659,NA,7.9,-0.66,-1.52,2.3,0.474,63,86,0.92984,3.53,0.57,14.9,1,8,4,"test",NA
"4660",4660,0,7.5,0.6,0.04,-56.1,-0.16,-388,502,1.02302,3.45,1.61,8.4,0,8,2,"train","no"
"4661",4661,2,7.2,1.02,0.85,16.2,0.632,-48,291,0.9987,1.8,0.36,6.9,-2,8,2,"train","yes"
"4662",4662,2,6.8,0.63,-0.06,13,0.29,22,282,0.97928,3.05,0.67,8.7,0,8,1,"train","yes"
"4663",4663,4,6.6,-0.9,-0.68,-88.3,1.006,77,231,0.95734,3.24,0.52,9.5,0,7,2,"train","yes"
"4664",4664,3,5.6,-2.72,1.62,-31.2,0.04,563,120,0.99026,6.05,0.39,4.7,0,6,2,"train","yes"
"4665",4665,0,-6.7,2.39,0.42,-22.7,0.081,-250,375,0.99179,3.2,-0.1,5.7,-1,11,1,"train","no"
"4666",4666,4,12.5,0.2,0.27,23.8,-0.464,30,180,0.9941,3.46,0.44,5.5,-1,8,1,"train","yes"
"4667",4667,0,6.7,-0.23,0.13,2,0.076,15,123.16396982268,0.99572,6.05,0.64,5.3,1,7,1,"train","no"
"4668",4668,0,7.4,-0.18,0.48,7.3,-0.307,-128,376,0.97744,3.34,-0.58,12.2,-1,10,2,"train","no"
"4669",4669,NA,15.5,-0.25,0.56,2,0.056,20,124,0.9948,3.6,0.49,4,-1,8,1,"test",NA
"4670",4670,0,4.8,0.62,-0.47,2.7,0.088,5,-178,0.9868,3.31,0.58,10.7,0,9,4,"train","no"
"4671",4671,0,9.8,0.5,0.75,-99.2,0.547,-270,42,0.97672,3.24,0.09,12.9,0,11,1,"train","no"
"4672",4672,2,11.4,0.99,0.4,41.4,0.295,-253,-137,0.99174,4.37,-1.13,11.1,-1,8,2,"train","yes"
"4673",4673,0,7.2,2.205,-0.43,42.95,-0.165,4,124,0.95516,3.69,-0.74,17.7,1,8,4,"train","no"
"4674",4674,2,-2.3,0.46,0.95,1.6,0.0737811946543016,7,11,0.99425,4.3,0.52,11.4,-1,7,2,"train","yes"
"4675",4675,3,9.7,0.24,0.35,-24.0627828970787,0.05,-236,565,1.02074,2.98,0.5,6.8,0,7,2,"train","yes"
"4676",4676,5,6.6,0.32,0.22,-39.3086342510136,0.046,63,404,0.96892,3.22,0.77,7.6,1,7,3,"train","yes"
"4677",4677,5,10.7,-0.92,0.58,5,0.073,-57,-133,0.9984,3.18,1.60992182544175,8.7,1,7,4,"train","yes"
"4678",4678,NA,7,0.69,0.07,19,0.091,15,-125,0.99572,3.38,-1.1,4.9,0,8,1,"test",NA
"4679",4679,2,-4.6,0.33,0.26,79.2,0.049,153,210,0.99907,3.06,0.68,9.5,-1,8,2,"train","yes"
"4680",4680,0,6.6,0.22,0.31,-49.5,0.864,116,136,0.99704,3.14,1.73,10.6,0,7,2,"train","no"
"4681",4681,0,5.9,0.4,0.58,-41.6,0.345,208,127,0.97717,3.51,0.58,10.9630494225986,0,7,3,"train","no"
"4682",4682,6,17.2,-0.49,0.83,3.6,-0.337,205.090214995538,143,0.99022,3.15,1.5,16.3,0,7,3,"train","yes"
"4683",4683,5,15.5,-1.08,1.69,-35.2,0.067,37,104,0.99161,3.55,0.51,15.8,0,7,1,"train","yes"
"4684",4684,2,24.6,1.63,0.26,37.2,-0.055,212,139,0.97315,3.3,0.46,7.1,-1,7,1,"train","yes"
"4685",4685,NA,7,0.6,-1.12,-27.8,0.447,28,160,0.9954,2.49,0.46,9.8,1,8,2,"test",NA
"4686",4686,NA,8.2,0.23,-2.78,1.3,0.171952484369782,267,-220,0.99141,2.99,0.36,9,0,9,2,"test",NA
"4687",4687,4,-0.5,0.24,0.43,5.4,-0.315,-209,-119,0.99045,3.15,0.38,18.5,0,7,3,"train","yes"
"4688",4688,3,6.9,0.24,0.34,51.4,0.254,43,-12,0.98056,3.29,0.59,8.8,-1,7,3,"train","yes"
"4689",4689,3,12.6,0.53,0.74,-23.7,0.044,18,386,0.992,3.38,0.55,8.7,0,8,2,"train","yes"
"4690",4690,0,-2.1,0.37,0.3,1.1,-0.226,24,307,0.98883,3.18,-0.26,11.7,-1,6,1,"train","no"
"4691",4691,NA,30.4,0.2,0.37,16.95,0.048,-220,190,0.9995,3.7,0.42,6.7,-1,8,1,"test",NA
"4692",4692,4,8,1.28,-1.1,-31.8,-0.065,83,197,0.96206,3.32,0.45,5.7,0,9,2,"train","yes"
"4693",4693,4,10.4,0.58,0.08,58.8,0.048,-224,28,0.9759,3.38,2.16,10,1,8,2,"train","yes"
"4694",4694,3,-3.9,0.15,0.24,54.7,-0.464,-20,528,0.9951,3.59,0.31,0.8,-1,8,2,"train","yes"
"4695",4695,NA,-1.4,0.4,1.73,44.3502838548663,-0.224,47,140,0.94199,4.53,0.51,10.2,1,7,2,"test",NA
"4696",4696,4,7.3,1.44,0.19,51,-0.041,27,155,0.9931,4.33,-1.4,8.2,0,8,3,"train","yes"
"4697",4697,4,13,-0.73,1.67,67.7,0.044,39,159,1.03379,1.71,-1.4,11.4,0,8,3,"train","yes"
"4698",4698,NA,7.3,0.19,-0.38,124.8,0.057,617,51,0.99807,2.94,-1.63,6.7,0,8,2,"test",NA
"4699",4699,3,6.4,0.16,0.48,-15.6,0.047,72.5189691614269,154.935708892032,0.9933,3.39,0.54,11,-1,7,3,"train","yes"
"4700",4700,NA,5.7,1.25,0.28,4.7,0.027,-221,-71,0.98948,3.33,0.45,12.5,0,6,4,"test",NA
"4701",4701,0,-1,0.39,-0.57,56.2,0.513,-254,-81,0.99859,3.26,-0.0961796736621512,10.9,0,10,2,"train","no"
"4702",4702,6,-0.5,0.24,3.37,1.8,0.273,-177,150,1.04665,3.9,0.24,10.2,2,9,4,"train","yes"
"4703",4703,5,3.9,0.29,1.28,-32.9,-0.551,-184,268,0.99674,4.41,0.53,10.4,1,7,3,"train","yes"
"4704",4704,3,0.9,-0.9,0.09,-3.8,0.046,52,32,1.01245,4.98,0.51,9.4,0,8,3,"train","yes"
"4705",4705,4,8.8,0.3,-0.25,16.7,0.06,-102,72,0.99543,3.39,0.02,7,0,9,2,"train","yes"
"4706",4706,0,11.8,0.26,0.49,2.3,0.037,37,161,0.9954,1.63,0.99,12.1,0,7,2,"train","no"
"4707",4707,5,4.8,0.13,0.32,-2.89112066012598,0.418,250.056100150796,98,0.9898,3.42,-0.163457226629942,11.8,0,5,4,"train","yes"
"4708",4708,5,5.4,1.71,0.36,-30.6,0.252,263,121,0.98976,2.58,0.27,12.1,0,6,2,"train","yes"
"4709",4709,0,9.3,0.45,-0.12,1.5,-0.219,-23,55,0.96728,1.84,0.73,9.82386092031223,2,10,3,"train","no"
"4710",4710,4,7.9,0.72,0.18,13,0.033,-243,148,1.02552,3.37,1.31,11.3,0,9,4,"train","yes"
"4711",4711,NA,5.5,-0.2,0.09,40.5,0.15,18,370,1.00358,4.2,0.51,5,-1,6,2,"test",NA
"4712",4712,3,12.7,0.15,0.34,5.3,-0.098,283,11,1.02469,3.37,2.16,9.3,-2,8,1,"train","yes"
"4713",4713,0,8.5,0.28,-0.52,2.1,0.137,-281,9,0.99376,4.09,0.4,17.5,-1,9,2,"train","no"
"4714",4714,4,0.2,0.04,0.52,61.1787265453576,0.421,135,105,1.03751,3.27,0.37,15.7,1,8,2,"train","yes"
"4715",4715,5,8.5,0.3,0.32,-33.9,0.105,-36,90,0.99185,3.37,0.68,11,0,7,1,"train","yes"
"4716",4716,0,5.2,0.61,0.11,83.9,0.066,-91,28,0.99483,3.55,1.75,10.9,1,7,1,"train","no"
"4717",4717,4,-3.2,-0.66,-1.15,48.9,0.04,38,348,0.998,3.33,0.79,11,0,8,2,"train","yes"
"4718",4718,2,1.5,0.37,1.87,9.5,-0.175,54,166,1.037,3.85,0.42,5,-1,8,2,"train","yes"
"4719",4719,3,7.9,1.09,0.23,66.6,0.077,18,45,1.02678,3.29,0.54,9.3,0,8,2,"train","yes"
"4720",4720,0,11.3,0.18,1.24,1.6,0.047,22,-84,1.03817,4.22,-0.30900384158384,10.7,0,8,3,"train","no"
"4721",4721,4,6.6,0.33,0.32,85.5,0.054,62,95,0.99734,3.25,1.95,10.4,1,7,2,"train","yes"
"4722",4722,NA,-0.9,0.22,0.44,61.7,-0.0557253458078458,-105,422,0.94593,3.45,1.46,6,0,8,3,"test",NA
"4723",4723,0,6.1,-0.55,0.58,48.2,0.044,-54,761,1.04318,3.15,0.51,3.7,-1,7,2,"train","no"
"4724",4724,4,1.7,0.32,0.45,7.7,0.157,75,692,0.99134,3.2,2.33,26,-1,7,2,"train","yes"
"4725",4725,3,7,0.14,0.3,1.3,-0.182,-95,91,0.99268,2.64,-0.771180314571337,8.21366546287494,-1,8,1,"train","yes"
"4726",4726,4,2.2,0.27,0.46,17.55,0.052,45,487,1.03123,2.9780288232216,0.52,8.9,1,8,2,"train","yes"
"4727",4727,NA,6.4,-0.13,1.15,-45.3,-0.59,31,-113,1.03165,3.54,0.51,10.3,-1,7,3,"test",NA
"4728",4728,4,6.1,0.27,0.68,-21.5,0.034,-127,-260,0.96177,3.36,1.67,19,0,7,2,"train","yes"
"4729",4729,4,7.7,0.61,-0.94,7.7,0.096,28,-635,1.02389,3.56,0.72,9.2,1,7,2,"train","yes"
"4730",4730,5,6.5,1.13,-0.4,-30.1,-0.038,38,-218,0.99364,3.16,0.33,10.1,1,7,3,"train","yes"
"4731",4731,3,6,0.39,0.77,1.2,0.042,220,172,1.02069,4.23,0.877131075344978,16.7,0,7,2,"train","yes"
"4732",4732,4,1.5,0.31,-1.19,10.6868531308393,0.033,-194,74,0.99064,4,0.65,12.5,0,7,2,"train","yes"
"4733",4733,0,8.3,1.71,-1.1,57.2,0.646,61,-119,1.0233,4.35,-1.2,7.51310624057607,0,7,1,"train","no"
"4734",4734,2,7.2,0.85,0.48,57.2,-0.083,-37,-27,0.9951,2.66,0.38,9.3,-1,7,1,"train","yes"
"4735",4735,3,6.3,0.23,0.49,71.3,0.05,67,210,0.95092,2.24,-0.16,21.8,0,7,2,"train","yes"
"4736",4736,3,6.2,0.3,-0.47,-43.8,0.008,42,170,1.04194,3.62,1.95,10.6,-1,7,1,"train","yes"
"4737",4737,3,12.9,0.45,0,26.5,0.102,-206,511,0.9937,3.35,-0.62,9.9,0,5,2,"train","yes"
"4738",4738,0,6.4,1.5,0.53,25.9,0.081,-214,31,1.03467,3.59,0.82,5.6,1,7,1,"train","no"
"4739",4739,3,6.6,0.31,1.81,1.4,0.035,-234,-7,0.98836,3,0.4,11.3,-1,7,1,"train","yes"
"4740",4740,0,4.2,0.235,0.02,15.1,0.175,68,-16,0.89837,4.01,0.86,10.5,2,7,3,"train","no"
"4741",4741,4,0.3,-1.05,0.46,63.4,0.285,39,567,1.00113,3.73,0.7,9.6,0,9,3,"train","yes"
"4742",4742,4,6.3,0.24,1.47,17.3774702701227,0.23,78,108,0.96975,4.21,0.39,9.9,0,7,2,"train","yes"
"4743",4743,0,6.8,0.815,-2.58,-3.8,0.301,-27,401,0.99614,3.32,1.09,3.4,-1,8,1,"train","no"
"4744",4744,7,8.1,0.17,0.44,14.1,0.053,43,62,1.01715,4.16,0.75,8.8,1,9,4,"train","yes"
"4745",4745,3,-11.8,0.26,3.52,38.8,-0.029,52.5,307,0.9976,3.03,2.01,10.2,-2,9,1,"train","yes"
"4746",4746,0,13.7,0.53,0.6,-13.8,0.175,-74,142.100557812249,0.99585,4.2,0.86,12.4,-2,11,2,"train","no"
"4747",4747,5,5.7,0.59,-1.25,6,0.36,11,303.61490349371,1.02772,4.42,-0.63,3.5,0,7,3,"train","yes"
"4748",4748,2,11.5,0.81,0.3,1.4,0.042,26,22,0.9954,3.15,0.46,9.1,-1,10,1,"train","yes"
"4749",4749,4,18.4,0.21,0.31,-24.6714959011031,0.039,46,403,0.95053,4.72,0.381409617411704,10.6,-1,7,2,"train","yes"
"4750",4750,4,6.6,0.23,1.83,-70.75,-0.45,-198,144,0.97801,3.33,0.54,10.2,0,7,2,"train","yes"
"4751",4751,5,12.3,0.22,1.15,1.2,0.024,29,271.194323497585,0.98823,4.45,0.46,13.05,0,6,2,"train","yes"
"4752",4752,4,2.2,2.65,1.76,-22.9,0.281,32,420,1.01267,3.08,0.39,10.5,0,9,1,"train","yes"
"4753",4753,3,-1.2,0.23,0.34,9.3,-0.546,-186,86,0.99574,3.55,0.190154704463635,7.9,0,8,2,"train","yes"
"4754",4754,5,-6.5,-0.41,0.33,57.5,0.03,54,-158,0.9765,3.18,2.04,13.8,0,6,4,"train","yes"
"4755",4755,4,6.8,1.31,0.05,1.6,0.588,264,173,1.0167,2.52,0.17,2.2,0,8,3,"train","yes"
"4756",4756,NA,6.5,0.33,-0.49,-27.9,0.036,110,88,1.01111,3.25,0.69,15,1,7,4,"test",NA
"4757",4757,3,-2.4,0.29,1.24,13.2,0.046,26,787,1.01327,2.55,0.37,9.7,-1,9,1,"train","yes"
"4758",4758,4,-2.4,0.28,0.26,-14.3,-0.554,44,17.3305654285105,0.97957,3.32,1.93,13,0,7,1,"train","yes"
"4759",4759,3,16.2,0.25,1.28,1.4,0.405,13,546,0.9935,3.11,1.38,9.5,0,7,3,"train","yes"
"4760",4760,0,2.1,0.51,0.37,-9.7,0.036,15,74,0.98853,3.09,0.49,12.7,0,6,1,"train","no"
"4761",4761,4,18,1.22,0.54,-39.1,0.157,-211,233,0.99449,3.11,2.1,10.1,0,8,2,"train","yes"
"4762",4762,NA,7.1,-0.16,0.38,-29.3,0.043,34,337,1.01429,3.23,0.38,8.5,0,10,1,"test",NA
"4763",4763,NA,27.1,3.18,0.78,6.4,0.094,9.05972098193627,200,0.99805,3.19,-0.61,11.2,-1,7,2,"test",NA
"4764",4764,0,7.4,-0.28,0.07,4,0.1,290.870157710628,-225,1.03376,2.77,-0.79,5.4,-2,8,2,"train","no"
"4765",4765,4,8.3,-0.3,0.74,1.85,0.051,33,530,1.03948,3.25,-2.93,6.96612433331572,0,9,2,"train","yes"
"4766",4766,NA,8.2,0.79,0.51,-37.7,0.073,16,47,0.99594,3.4,1.61,11.3,0,9,4,"test",NA
"4767",4767,5,18.7,-0.58,-0.54,-24.6,0.043,-379.39945913857,248,0.99206,3.21,0.992256961686988,8.7,1,9,3,"train","yes"
"4768",4768,3,0.5,-0.62,1.53,29.9,0.083,151,248,1.0431,2.54,-0.17,9.4,0,8,1,"train","yes"
"4769",4769,4,3.6,0.51,0.36,-8.2,0.552,40,-44,0.9975,2.15,0.76,11,0,8,2,"train","yes"
"4770",4770,NA,0.4,1.93,1.03,1.9,-0.509,86,38,0.99518,2.91,0.85,9.8,0,9,1,"test",NA
"4771",4771,3,22.1,1.385,0.26,-31.3,0.21,40,102,0.99094,3.68,1.17,10.6,-1,6,2,"train","yes"
"4772",4772,5,7,0.68,-2.81,-40.4,0.027,309,122,0.99228,2.45,1.51,12.5,-1,7,3,"train","yes"
"4773",4773,2,7.4,1.36,-0.14,51.5,0.135,-204,-113,1.06987,4.63,1.17,5.2,-1,8,2,"train","yes"
"4774",4774,3,-2.15,-0.61,-1.29,9.6,0.119,282,286,1.02743,3.15,0.44,10.9,-1,8,1,"train","yes"
"4775",4775,5,16.7,0.44,0.44,-12.6,0.048,29,228,0.99955,1.77,0.54,11.6,0,7,3,"train","yes"
"4776",4776,5,0.6,-0.995,-1.12,-60.35,0.537,-99,-166,0.989,2.34,-1.32916943044192,12.8,0,7,4,"train","yes"
"4777",4777,6,2.6,0.29,0.71,-43.8,0.084,23,293,0.98768,3.04,0.68,5.5,1,14,3,"train","yes"
"4778",4778,3,-12.9,-0.01,0.28,2.2,0.042,-170,64,0.99166,2.45,-2.1,17.8,0,8,2,"train","yes"
"4779",4779,3,9.4,1.91,0.06,-18.2,-0.0909651393343162,30,75,1.01996,3.32,-0.362936460446485,13.8,0,6,2,"train","yes"
"4780",4780,5,6.4,-0.58,0.26,5.6,0.044,308,160,0.9949,3.6,0.47,10.6,1,7,1,"train","yes"
"4781",4781,4,7.8,1.05,0.08,54.5,0.221,78,186,0.91885,3.14,1.76,10.6,0,8,1,"train","yes"
"4782",4782,5,-5.2,0.23,0.3,14.9,0.624,-220,160,0.99835,0.48,0.54,9,1,7,2,"train","yes"
"4783",4783,3,6.2,0.3,0.21,1.1,0.032,31,111,1.02658,3.78,0.42,12.2,-1,7,1,"train","yes"
"4784",4784,NA,6.1,-0.89,0.24,1.5,0.511,38,124,1.00477,3.94,0.42,12.4,-1,7,3,"test",NA
"4785",4785,4,8.6,0.08,0.46,-33.5,0.226,269,-331,0.9941,4.19,0.49,11.3351209255513,0,9,1,"train","yes"
"4786",4786,5,8.2,0.49,0.4,-59.5,0.027,-133,121,0.94855,3.12,-0.58,11.3,1,9,1,"train","yes"
"4787",4787,0,5,0.22,0.42,14.6,0.308,98.7473493756716,-191,1.0003,2.22,0.16,8.6,-1,9,1,"train","no"
"4788",4788,4,7.7,0.43,0.37,9.9,0.169,-261,210,0.94758,3.48,0.24,5.1,1,9,2,"train","yes"
"4789",4789,2,6.3,0.67,0.3,-8.7,0.049,-263,516,1.01356,2.56659973676986,0.39,8.9,-1,7,1,"train","yes"
"4790",4790,3,7.2,-1.14,0.26,138,0.195993468906028,279,-134,0.9986,3.41,-0.81,15.2,-1,8,2,"train","yes"
"4791",4791,NA,7.7,-1.04,0.3,24.4,0.407,25,-197,0.9951,2.97,0.47,10.9,1,8,1,"test",NA
"4792",4792,6,6,1.28,0.32,7.4,0.552,115,159,1.00893,3.19,0.5,11.7,2,7,3,"train","yes"
"4793",4793,5,6,0.33,0.2,-32.4505206446271,0.364,49,159,1.01359,3.41,0.26,4.6,1,7,4,"train","yes"
"4794",4794,5,6.6,1.2,0.19,19,0.031,-212,166,0.98036,4.06,0.43,12.7,0,7,2,"train","yes"
"4795",4795,NA,6.5,1.08,0.24,-8.35,-0.112,25,131,0.99565,1.96,0.51,8.4,1,7,3,"test",NA
"4796",4796,0,10.5,-0.89,0.95,4.1,0.581,24,-356,1.00523,3.21,0.69,13.8,0,11,2,"train","no"
"4797",4797,4,7,1.63,-1.27,-6.5,0.037,11,346,0.98914,1.8,0.97,12.5,0,8,2,"train","yes"
"4798",4798,0,-2.7,0.225,0.54,11.3,0.677,-14,104,0.9918,3.16,0.4,12.1,-1,7,1,"train","no"
"4799",4799,NA,7.2,0.21,-1.24,14.5,-0.275,306,311,0.9982,3.05,-0.22,8.9,-1,8,3,"test",NA
"4800",4800,5,14.7,0.77,-0.49,-41.3,0.035,118,47,0.99666,2.75,0.36,15.4,1,7,2,"train","yes"
"4801",4801,0,-0.7,0.35,0.33,33.4,0.068,9,36,0.9947,3.36,2.23,12.7,-1,8,1,"train","no"
"4802",4802,NA,-2.6,0.23,0.29,1.6,0.043,24,415,1.03506,3.12,0.9,10.4,0,8,3,"test",NA
"4803",4803,0,5.6,1.76,0.86,-14.2521890297595,0.039,202,116,0.94342,4.29,0.9,15.5,1,6,3,"train","no"
"4804",4804,5,3.5,0.17,0.3,22.7,0.56,13,120,0.99095,3.02,-1.26,12.1554547252217,1,7,4,"train","yes"
"4805",4805,NA,6.8,0.52,0.74,68,0.088,23,185,0.9928,4.39,-0.39,12.2,0,8,2,"test",NA
